Pin M14 name differs in MANUFACTURER and CAD pinout files MAN=rsvdgnd, CAD=cfgbvs_0.
Pin BF16 name differs in MANUFACTURER and CAD pinout files MAN=io_l23n_t3u_n9_perstn1_i2c_sda_65, CAD=io_l23n_t3u_n9_i2c_sda_65.
Pin AV19 name differs in MANUFACTURER and CAD pinout files MAN=io_t1u_n12_smbalert_65, CAD=io_t1u_n12_perstn1_65.
Pin AR17 name differs in MANUFACTURER and CAD pinout files MAN=io_l24n_t3u_n11_64, CAD=io_l24n_t3u_n11_84.
Pin AP17 name differs in MANUFACTURER and CAD pinout files MAN=io_l24p_t3u_n10_64, CAD=io_l24p_t3u_n10_84.
Pin AP15 name differs in MANUFACTURER and CAD pinout files MAN=io_l23n_t3u_n9_64, CAD=io_l23n_t3u_n9_84.
Pin AN15 name differs in MANUFACTURER and CAD pinout files MAN=io_l23p_t3u_n8_64, CAD=io_l23p_t3u_n8_84.
Pin AV15 name differs in MANUFACTURER and CAD pinout files MAN=io_l22n_t3u_n7_dbc_ad0n_64, CAD=io_l22n_t3u_n7_dbc_ad0n_84.
Pin AV16 name differs in MANUFACTURER and CAD pinout files MAN=io_l22p_t3u_n6_dbc_ad0p_64, CAD=io_l22p_t3u_n6_dbc_ad0p_84.
Pin AP16 name differs in MANUFACTURER and CAD pinout files MAN=io_l21n_t3l_n5_ad8n_64, CAD=io_l21n_t3l_n5_ad8n_84.
Pin AN16 name differs in MANUFACTURER and CAD pinout files MAN=io_l21p_t3l_n4_ad8p_64, CAD=io_l21p_t3l_n4_ad8p_84.
Pin AU17 name differs in MANUFACTURER and CAD pinout files MAN=io_l20n_t3l_n3_ad1n_64, CAD=io_l20n_t3l_n3_ad1n_84.
Pin AT17 name differs in MANUFACTURER and CAD pinout files MAN=io_l20p_t3l_n2_ad1p_64, CAD=io_l20p_t3l_n2_ad1p_84.
Pin AU16 name differs in MANUFACTURER and CAD pinout files MAN=io_l19n_t3l_n1_dbc_ad9n_64, CAD=io_l19n_t3l_n1_dbc_ad9n_84.
Pin AT16 name differs in MANUFACTURER and CAD pinout files MAN=io_l19p_t3l_n0_dbc_ad9p_64, CAD=io_l19p_t3l_n0_dbc_ad9p_84.
Pin AM16 name differs in MANUFACTURER and CAD pinout files MAN=io_t3u_n12_64, CAD=io_t3u_n12_84.
Pin AT11 name differs in MANUFACTURER and CAD pinout files MAN=io_t2u_n12_64, CAD=io_t2u_n12_84.
Pin AR13 name differs in MANUFACTURER and CAD pinout files MAN=io_l18n_t2u_n11_ad2n_64, CAD=io_l18n_t2u_n11_ad2n_84.
Pin AP13 name differs in MANUFACTURER and CAD pinout files MAN=io_l18p_t2u_n10_ad2p_64, CAD=io_l18p_t2u_n10_ad2p_84.
Pin AU11 name differs in MANUFACTURER and CAD pinout files MAN=io_l17n_t2u_n9_ad10n_64, CAD=io_l17n_t2u_n9_ad10n_84.
Pin AU12 name differs in MANUFACTURER and CAD pinout files MAN=io_l17p_t2u_n8_ad10p_64, CAD=io_l17p_t2u_n8_ad10p_84.
Pin AR14 name differs in MANUFACTURER and CAD pinout files MAN=io_l16n_t2u_n7_qbc_ad3n_64, CAD=io_l16n_t2u_n7_qbc_ad3n_84.
Pin AR15 name differs in MANUFACTURER and CAD pinout files MAN=io_l16p_t2u_n6_qbc_ad3p_64, CAD=io_l16p_t2u_n6_qbc_ad3p_84.
Pin AT12 name differs in MANUFACTURER and CAD pinout files MAN=io_l15n_t2l_n5_ad11n_64, CAD=io_l15n_t2l_n5_ad11n_84.
Pin AR12 name differs in MANUFACTURER and CAD pinout files MAN=io_l15p_t2l_n4_ad11p_64, CAD=io_l15p_t2l_n4_ad11p_84.
Pin AT14 name differs in MANUFACTURER and CAD pinout files MAN=io_l14n_t2l_n3_gc_64, CAD=io_l14n_t2l_n3_gc_84.
Pin AT15 name differs in MANUFACTURER and CAD pinout files MAN=io_l14p_t2l_n2_gc_64, CAD=io_l14p_t2l_n2_gc_84.
Pin AU13 name differs in MANUFACTURER and CAD pinout files MAN=io_l13n_t2l_n1_gc_qbc_64, CAD=io_l13n_t2l_n1_gc_qbc_84.
Pin AU14 name differs in MANUFACTURER and CAD pinout files MAN=io_l13p_t2l_n0_gc_qbc_64, CAD=io_l13p_t2l_n0_gc_qbc_84.
Pin AW12 name differs in MANUFACTURER and CAD pinout files MAN=io_l12n_t1u_n11_gc_64, CAD=io_l12n_t1u_n11_gc_94.
Pin AW13 name differs in MANUFACTURER and CAD pinout files MAN=io_l12p_t1u_n10_gc_64, CAD=io_l12p_t1u_n10_gc_94.
Pin AV13 name differs in MANUFACTURER and CAD pinout files MAN=io_l11n_t1u_n9_gc_64, CAD=io_l11n_t1u_n9_gc_94.
Pin AV14 name differs in MANUFACTURER and CAD pinout files MAN=io_l11p_t1u_n8_gc_64, CAD=io_l11p_t1u_n8_gc_94.
Pin BB11 name differs in MANUFACTURER and CAD pinout files MAN=io_l10n_t1u_n7_qbc_ad4n_64, CAD=io_l10n_t1u_n7_qbc_ad4n_94.
Pin BA11 name differs in MANUFACTURER and CAD pinout files MAN=io_l10p_t1u_n6_qbc_ad4p_64, CAD=io_l10p_t1u_n6_qbc_ad4p_94.
Pin BA12 name differs in MANUFACTURER and CAD pinout files MAN=io_l9n_t1l_n5_ad12n_64, CAD=io_l9n_t1l_n5_ad12n_94.
Pin AY12 name differs in MANUFACTURER and CAD pinout files MAN=io_l9p_t1l_n4_ad12p_64, CAD=io_l9p_t1l_n4_ad12p_94.
Pin BB12 name differs in MANUFACTURER and CAD pinout files MAN=io_l8n_t1l_n3_ad5n_64, CAD=io_l8n_t1l_n3_ad5n_94.
Pin BB13 name differs in MANUFACTURER and CAD pinout files MAN=io_l8p_t1l_n2_ad5p_64, CAD=io_l8p_t1l_n2_ad5p_94.
Pin AW11 name differs in MANUFACTURER and CAD pinout files MAN=io_l7n_t1l_n1_qbc_ad13n_64, CAD=io_l7n_t1l_n1_qbc_ad13n_94.
Pin AV11 name differs in MANUFACTURER and CAD pinout files MAN=io_l7p_t1l_n0_qbc_ad13p_64, CAD=io_l7p_t1l_n0_qbc_ad13p_94.
Pin AY13 name differs in MANUFACTURER and CAD pinout files MAN=io_t1u_n12_64, CAD=io_t1u_n12_94.
Pin BC16 name differs in MANUFACTURER and CAD pinout files MAN=io_t0u_n12_vrp_64, CAD=io_t0u_n12_94.
Pin BA17 name differs in MANUFACTURER and CAD pinout files MAN=io_l6n_t0u_n11_ad6n_64, CAD=io_l6n_t0u_n11_ad6n_94.
Pin AY17 name differs in MANUFACTURER and CAD pinout files MAN=io_l6p_t0u_n10_ad6p_64, CAD=io_l6p_t0u_n10_ad6p_94.
Pin BB14 name differs in MANUFACTURER and CAD pinout files MAN=io_l5n_t0u_n9_ad14n_64, CAD=io_l5n_t0u_n9_ad14n_94.
Pin BA14 name differs in MANUFACTURER and CAD pinout files MAN=io_l5p_t0u_n8_ad14p_64, CAD=io_l5p_t0u_n8_ad14p_94.
Pin BB16 name differs in MANUFACTURER and CAD pinout files MAN=io_l4n_t0u_n7_dbc_ad7n_64, CAD=io_l4n_t0u_n7_dbc_ad7n_94.
Pin BB17 name differs in MANUFACTURER and CAD pinout files MAN=io_l4p_t0u_n6_dbc_ad7p_64, CAD=io_l4p_t0u_n6_dbc_ad7p_94.
Pin BB15 name differs in MANUFACTURER and CAD pinout files MAN=io_l3n_t0l_n5_ad15n_64, CAD=io_l3n_t0l_n5_ad15n_94.
Pin BA16 name differs in MANUFACTURER and CAD pinout files MAN=io_l3p_t0l_n4_ad15p_64, CAD=io_l3p_t0l_n4_ad15p_94.
Pin AY14 name differs in MANUFACTURER and CAD pinout files MAN=io_l2n_t0l_n3_64, CAD=io_l2n_t0l_n3_94.
Pin AW15 name differs in MANUFACTURER and CAD pinout files MAN=io_l2p_t0l_n2_64, CAD=io_l2p_t0l_n2_94.
Pin BA15 name differs in MANUFACTURER and CAD pinout files MAN=io_l1n_t0l_n1_dbc_64, CAD=io_l1n_t0l_n1_dbc_94.
Pin AY15 name differs in MANUFACTURER and CAD pinout files MAN=io_l1p_t0l_n0_dbc_64, CAD=io_l1p_t0l_n0_dbc_94.
Pin AM17 name differs in MANUFACTURER and CAD pinout files MAN=vref_64, CAD=vref_84.
Pin BD9 name differs in MANUFACTURER and CAD pinout files MAN=mgtytxp3_220, CAD=mgthtxp3_220.
Pin BD4 name differs in MANUFACTURER and CAD pinout files MAN=mgtyrxp3_220, CAD=mgthrxp3_220.
Pin BD3 name differs in MANUFACTURER and CAD pinout files MAN=mgtyrxn3_220, CAD=mgthrxn3_220.
Pin BD8 name differs in MANUFACTURER and CAD pinout files MAN=mgtytxn3_220, CAD=mgthtxn3_220.
Pin BE7 name differs in MANUFACTURER and CAD pinout files MAN=mgtytxp2_220, CAD=mgthtxp2_220.
Pin BF4 name differs in MANUFACTURER and CAD pinout files MAN=mgtyrxp2_220, CAD=mgthrxp2_220.
Pin BF3 name differs in MANUFACTURER and CAD pinout files MAN=mgtyrxn2_220, CAD=mgthrxn2_220.
Pin BE6 name differs in MANUFACTURER and CAD pinout files MAN=mgtytxn2_220, CAD=mgthtxn2_220.
Pin BE11 name differs in MANUFACTURER and CAD pinout files MAN=mgtytxp1_220, CAD=mgthtxp1_220.
Pin BD14 name differs in MANUFACTURER and CAD pinout files MAN=mgtyrxp1_220, CAD=mgthrxp1_220.
